lead_id,domain,final_url,http_status,bytes,page_count,fetch_status,error_detail
1376,legendsdata.com,http://legendsdata.com/,202,167,1,ok,https: 
1377,bmw-elitemotors.rs,,,0,0,timeout,http: 
1379,dlpconnex.co.uk,,,0,0,timeout,http: 
1380,languagelearning.online,http://languagelearning.online/,403,4788,1,blocked,http_403
1382,miereamilena.ro,,,0,0,timeout,http: 
1383,estelaalba.com,,,0,0,timeout,http: 
1385,forbelle.com.mx,http://forbelle.com.mx/,200,11874,1,ok,https: 
1386,datameesterschap.nl,,,0,0,timeout,http: 
1387,byminmobiliaria.mx,,,0,0,timeout,http: 
1388,eclatservice.com,,,0,0,timeout,http: 
1390,padelpass.co.uk,http://padelpass.co.uk/,202,167,1,ok,https: 
1396,truedamagecare.com,,,0,0,timeout,http: 
1397,smartscoop.hu,,,0,0,timeout,http: 
1399,bumbum.mn,http://bumbum.mn/,200,209043,1,ok,https: ; page2_error:
1400,hydrogel.rs,,,0,0,timeout,http: 
1402,academylinknetwork.com,,,0,0,timeout,http: 
1403,uniksolutions.in,http://uniksolutions.in/,200,103992,1,ok,https: 
1404,leader-plaque.fr,,,0,0,timeout,http: 
1405,bloomandsavour.com,http://bloomandsavour.com/,202,168,1,ok,https: 
1406,enshaa.me,,,0,0,timeout,http: 
1407,alfaaprime.com,,,0,0,timeout,http: 
1408,sundeus.ai,,,0,0,timeout,http: 
1410,tech-minerals.com,,,0,0,timeout,http: 
1414,arkedia.co.uk,,,0,0,timeout,http: 
1415,nasp.cl,,,0,0,timeout,http: 
1416,taitaiva.com,,,0,0,timeout,http: 
1417,ueluc.com,http://ueluc.com/,200,12057,1,ok,https: 
1419,albertacustom.ca,,,0,0,timeout,http: 
1420,beardedceejaay.com,,,0,0,timeout,http: 
1421,vantveld.be,,,0,0,timeout,http: 
1422,colwellbrothers.ie,http://colwellbrothers.ie/,202,168,1,ok,https: 
1423,tutifruticl.cl,,,0,0,timeout,http: 
1424,socialflute.com,,,0,0,timeout,http: 
1426,kefidata.com,http://kefidata.com/,202,168,1,ok,https: 
1427,essor.co.ke,,,0,0,timeout,http: 
1430,ntmtrading.co.za,http://ntmtrading.co.za/,403,367,1,blocked,http_403
1432,huesocabra.com,,,0,0,timeout,http: 
1433,sgigroup.co.in,,,0,0,timeout,http: 
1435,ssureinsurance.com,,,0,0,timeout,http: 
1436,focusedleaders.co.uk,,,0,0,timeout,http: 
1437,nnekamarwellness.com,,,0,0,timeout,http: 
1438,sparderm.com,,,0,0,timeout,http: 
1439,coolerbox.hu,,,0,0,timeout,http: 
1440,simulspheretz.com,,,0,0,timeout,http: 
1441,sportvilkius.lt,,,0,0,timeout,http: 
1442,sheikhoil.com,,,0,0,timeout,http: 
1443,ghncom.com,,,0,0,timeout,http: 
1444,helenaessentials.com,,,0,0,timeout,http: 
1445,alliancemscinc.com,http://alliancemscinc.com/,202,167,1,ok,https: 
1446,cadrehospice.com,,,0,0,timeout,http: 
1448,dtfensevilla.com,http://dtfensevilla.com/,200,11909,1,ok,https: 
1450,slimit.ro,,,0,0,timeout,http: 
1452,strefagrilla.pl,,,0,0,timeout,http: 
1453,imtraining.pl,,,0,0,timeout,http: 
1455,mustxsurgical.com,,,0,0,timeout,http: 
1456,www.macsaerial.com,,,0,0,timeout,http: 
1457,longtomstudios.co.uk,http://longtomstudios.co.uk/,202,168,1,ok,https: 
1460,www.pergolashop.co.uk,,,0,0,timeout,http: 
1465,waiypar.co.za,,,0,0,timeout,http: 
1469,parsafood.com,,,0,0,timeout,http: 
1470,junsamtubes.com,,,0,0,timeout,http: 
1471,kumarboxmaker.com,http://kumarboxmaker.com/,403,5689,1,blocked,http_403
1473,fopacking.com,http://fopacking.com/,202,168,1,ok,https: 
1475,schon-company.com,,,0,0,timeout,http: 
1476,protoncables.net,,,0,0,timeout,http: 
1477,wallbedsbellingham.com,http://wallbedsbellingham.com/,202,168,1,ok,https: 
1479,xpmakina.com,,,0,0,timeout,http: 
1480,bregtobjects.nl,,,0,0,timeout,http: 
1481,stepharmaceuticals.com,,,0,0,timeout,http: 
1482,latesa.nl,,,0,0,timeout,http: 
1487,engemaky.com.br,,,0,0,timeout,http: 
1488,whatmachines.com,,,0,0,timeout,http: 
1490,gujcomart.in,,,0,0,timeout,http: 
1491,chinathermistor.com,,,0,0,timeout,http: 
1492,solidtec.no,,,0,0,timeout,http: 
1495,stil-casa.ro,,,0,0,timeout,http: 
1496,fet-enchere.fr,,,0,0,timeout,http: 
1497,artbygurbani.com,,,0,0,timeout,http: 
1498,www.sharpengineersna.com,,,0,0,timeout,http: 
1500,nepaljuttafactory.com,,,0,0,timeout,http: 
1501,lostejidos.com,http://lostejidos.com/,202,167,1,ok,https: 
1502,ishakoglupack.com,,,0,0,timeout,http: 
1504,funoonwear.com,,,0,0,timeout,http: 
1505,instantlights.co.uk,,,0,0,timeout,http: 
1506,dunesexpress.com,,,0,0,timeout,http: 
1507,vulcansportwear.com,,,0,0,timeout,http: 
1508,samaamn.com,http://samaamn.com/,503,114,1,ok,https: 
1510,atlashomedesign.co,,,0,0,timeout,http: 
1511,medtest-ghana.com,,,0,0,timeout,http: 
1512,excelleratool.com,,,0,0,timeout,http: 
1513,voltsine.in,,,0,0,timeout,http: 
1514,www.thetrailerteam.com,http://www.thetrailerteam.com/,200,11804,1,ok,https: 
1515,bulkandorganics.com,http://bulkandorganics.com/,409,6466,1,ok,https: 
1517,www.cantinealdegheri.com,http://www.cantinealdegheri.com/,202,167,1,ok,https: 
1518,shreeimpex.co,,,0,0,timeout,http: 
1519,silkroad-es.com,,,0,0,timeout,http: 
1520,aieskyline.co.uk,,,0,0,timeout,http: 
1521,www.nesasolusi.com,,,0,0,timeout,http: 
1523,qortexdistributions.com,,,0,0,timeout,http: 
1524,ronch.us,http://ronch.us/,202,168,1,ok,https: 
1525,khammash-otr.com,,,0,0,timeout,http: 
1526,imenshim.com,,,0,0,timeout,http: 
1527,www.slszonwering.nl,,,0,0,timeout,http: 
1529,chamundafabchem.com,,,0,0,timeout,http: 
1530,haingkw.com,,,0,0,timeout,http: 
1531,jlcuisine.com,,,0,0,timeout,http: 
1533,renhealthqare.com,,,0,0,timeout,http: 
1534,www.pgipro.com,,,0,0,timeout,http: 
1535,portalprint.co.uk,http://portalprint.co.uk/,200,222366,1,ok,https: ; page2_error:
1536,bookyacht.in,,,0,0,timeout,http: 
1537,namooverseas.in,http://namooverseas.in/,200,221094,1,ok,https: 
1538,www.machiaccesorioshg.com.co,,,0,0,timeout,http: 
1539,xcelautoservices.com,http://xcelautoservices.com/,403,239,1,blocked,http_403
1542,www.carlexit.com,,,0,0,timeout,http: 
1543,agnsceylon.com,,,0,0,timeout,http: 
1544,cargate-eg.com,,,0,0,timeout,http: 
1545,tastextiles.com,,,0,0,timeout,http: 
1547,www.apsconceptlighting.com,,,0,0,timeout,http: 
1548,nicaksu.com,,,0,0,timeout,http: 
1550,sd-spring.com,http://sd-spring.com/,202,167,1,ok,https: 
1551,flavoursofchennai.com,,,0,0,timeout,http: 
1552,conason.com,,,0,0,timeout,http: 
1553,ipssac.com,http://ipssac.com/,202,167,1,ok,https: 
1554,fardantrading.com,,,0,0,timeout,http: 
1555,nowcustomboxes.com,http://nowcustomboxes.com/,200,11980,1,ok,https: 
1560,delcomsac.com,,,0,0,timeout,http: 
1561,shangshanpetro.com,http://shangshanpetro.com/,202,167,1,ok,https: 
1563,www.cndwmn.com,,,0,0,timeout,http: 
1564,signatureledlighting.com,http://signatureledlighting.com/,202,169,1,ok,https: 
1565,www.acetexgroup.com,,,0,0,timeout,http: 
1569,gpolarol.com,,,0,0,timeout,http: 
1572,bondplandcorp.com,,,0,0,timeout,http: 
1573,decoflow.co.za,,,0,0,timeout,http: 
1574,sdhandling.com,,,0,0,timeout,http: 
1576,srnorganizasyon.com,,,0,0,timeout,http: 
1577,ikzarsa.com,,,0,0,timeout,http: 
1579,amazonicagroup.com,,,0,0,timeout,http: 
1580,vitavision.com.ar,,,0,0,timeout,http: 
1581,evpro.com.my,,,0,0,timeout,http: 
1582,almamachine.com,,,0,0,timeout,http: 
1587,bagsfactori.com,,,0,0,timeout,http: 
1588,limradesigns.in,http://limradesigns.in/,200,117156,1,ok,https: ; page2_error:
1589,yes-cable.uz,,,0,0,timeout,http: 
1590,dtee.in,,,0,0,timeout,http: 
1591,emiratesrefineryltd.com,,,0,0,timeout,http: 
1592,bamel.sk,,,0,0,timeout,http: 
1593,aynifoods.com,http://aynifoods.com/,202,169,1,ok,https: 
1594,meptech.ma,,,0,0,timeout,http: 
1595,hairlossrehab.ie,,,0,0,timeout,http: 
1598,seedoosports.com,http://seedoosports.com/,200,115632,1,ok,https: ; page2_error:
1599,kitsrecycling.se,,,0,0,timeout,http: 
1600,carolinapatiofurniture.com,,,0,0,timeout,http: 
1601,izo-tim.rs,,,0,0,timeout,http: 
1602,laffausa.com,,,0,0,timeout,http: 
1603,jetradingab.com,,,0,0,timeout,http: 
1604,nitusharoosh.com,,,0,0,timeout,http: 
1605,egtmea.com,,,0,0,timeout,http: 
1606,isasolutions.net,,,0,0,timeout,http: 
1607,stelex.co.in,,,0,0,timeout,http: 
1608,www.testsod.com,,,0,0,timeout,http: 
1609,bagwaninursery.com,,,0,0,timeout,http: 
1613,girorigin.com,,,0,0,timeout,http: 
1614,nillistudioart.com,,,0,0,timeout,http: 
